review_id,order_id,customer_id,restaurant_id,review_text,rating,review_timestamp
REV-000002,ORD-20250905-482950,CUST-10319,REST-AUH-001,Unsatisfactory. Chicken 65 and Palak Paneer were not fresh. Chicken 65 tasted reheated. Won't order again.,2,2025-09-07T18:22:09.000778
REV-000003,ORD-20250906-477442,CUST-10034,REST-AUH-001,Exceptional quality! Ordered Butter Chicken and Jeera Rice and everything was delicious. The Jeera Rice melted in my mouth. Perfect!,5,2025-09-07T18:57:37.000778
REV-000001,ORD-20250903-294207,CUST-10264,REST-DXB-001,Shocking! Fish Curry  Dal Makhani  Jeera Rice  and Paneer Butter Masala bore no resemblance to the menu description. Dal Makhani was inedible. Refund demanded!,1,2025-09-08T19:51:04.000778
REV-000006,ORD-20250909-398593,CUST-10109,REST-AUH-001,Very satisfied! Chicken Seekh Kebab were fresh and flavorful. Chicken Seekh Kebab was the standout dish.,4,2025-09-10T19:34:09.000778
REV-000007,ORD-20250910-670692,CUST-10459,REST-AUH-002,Very satisfied! Lamb Rogan Josh and Mango Lassi were fresh and flavorful. Lamb Rogan Josh was the standout dish.,4,2025-09-12T12:11:03.000778
REV-000004,ORD-20250906-333785,CUST-10113,REST-DXB-001,Hands down the best Garlic Naan I've ever had! Garlic Naan were all prepared beautifully. Fresh and flavorful!,5,2025-09-12T20:24:43.000778
REV-000005,ORD-20250909-769855,CUST-10237,REST-DXB-002,Poor experience. Fish Curry  Palak Paneer  Chicken Biryani  and Chicken 65 were disappointing. Chicken 65 was burnt on the edges. Very unhappy.,2,2025-09-14T12:28:02.000778
REV-000009,ORD-20250912-302610,CUST-10006,REST-DXB-001,Absolutely amazing Palak Paneer  Chicken Seekh Kebab  and Butter Chicken! The Butter Chicken was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2025-09-14T15:20:44.000778
REV-000010,ORD-20250912-166539,CUST-10263,REST-AUH-001,Decent food but nothing special. Butter Naan and Rasmalai (2 pcs) were okay. Rasmalai (2 pcs) lacked the punch I expected.,3,2025-09-14T18:05:58.000778
REV-000012,ORD-20250913-380541,CUST-10486,REST-DXB-001,Incredible meal! Paneer Butter Masala  Fish Curry  Chicken Tikka Masala  Garlic Naan  and Sweet Lassi arrived hot and fresh. The Paneer Butter Masala was absolutely divine. Highly satisfied!,5,2025-09-15T12:58:29.000778
REV-000008,ORD-20250911-369339,CUST-10399,REST-SHJ-001,Good quality food. Mango Lassi  Chole Bhature  Rasmalai (2 pcs)  Fresh Lime Soda  and Malai Kofta were nicely done. Chole Bhature could have been slightly spicier but still good!,4,2025-09-15T18:44:19.000778
REV-000013,ORD-20250913-154243,CUST-10083,REST-AUH-002,Wow! Just wow! Aloo Tikki Chaat  Mango Lassi  Chicken 65  Sweet Lassi  and Dal Makhani were all fantastic. Chicken 65 was particularly memorable. Can't wait to order again!,5,2025-09-16T16:35:59.000778
REV-000011,ORD-20250912-445047,CUST-10236,REST-AUH-001,Poor experience. Chicken Tikka Masala  Fish Curry  Chicken Biryani  and Kulfi were disappointing. Kulfi was burnt on the edges. Very unhappy.,2,2025-09-16T22:22:45.000778
REV-000014,ORD-20250913-375641,CUST-10063,REST-AUH-002,Average experience. Mango Lassi  Palak Paneer  and Malai Kofta were fine but Mango Lassi was a bit bland. Room for improvement.,3,2025-09-19T17:50:00.000778
REV-000015,ORD-20250920-145116,CUST-10231,REST-AUH-002,Pleasant meal! Vegetable Biryani  Paneer Tikka  and Kulfi arrived warm. Paneer Tikka was tasty though not exceptional. Would order again.,4,2025-09-24T21:33:23.000778
REV-000016,ORD-20250921-518044,CUST-10364,REST-DXB-001,Poor experience. Mango Lassi and Jeera Rice were disappointing. Mango Lassi was burnt on the edges. Very unhappy.,2,2025-09-26T14:00:18.000778
REV-000018,ORD-20250927-647853,CUST-10243,REST-DXB-001,Pleasant meal! Chicken Seekh Kebab  Lamb Rogan Josh  Dal Makhani  Rasmalai (2 pcs)  and Chole Bhature arrived warm. Dal Makhani was tasty though not exceptional. Would order again.,4,2025-09-28T13:13:09.000778
REV-000017,ORD-20250923-880760,CUST-10189,REST-DXB-002,Not bad  not great. Mango Lassi  Masala Chai  Butter Naan  Chicken Seekh Kebab  and Paneer Tikka were edible. Masala Chai needed more seasoning.,3,2025-09-30T14:09:47.000778
REV-000019,ORD-20250930-210412,CUST-10189,REST-DXB-001,Absolutely horrible! Chicken Tikka Masala  Aloo Tikki Chaat  and Chole Bhature arrived ice cold after 2 hour delay. Chole Bhature was spoiled. Disgusting!,1,2025-10-07T18:02:28.000778
REV-000020,ORD-20251005-694748,CUST-10496,REST-DXB-001,Outstanding experience! The Paneer Butter Masala  Samosa (2 pcs)  Fish Curry  Malai Kofta  and Chicken Biryani exceeded all expectations. Malai Kofta was the star of the meal. Will definitely order again!,5,2025-10-09T11:55:02.000778
REV-000022,ORD-20251008-867357,CUST-10362,REST-DXB-001,Not good. Fish Curry and Aloo Tikki Chaat arrived late and cold. Fish Curry had barely any flavor. Poor quality.,2,2025-10-10T10:11:51.000778
REV-000021,ORD-20251007-625139,CUST-10024,REST-AUH-001,Not good. Butter Chicken and Garlic Naan arrived late and cold. Garlic Naan had barely any flavor. Poor quality.,2,2025-10-12T22:26:20.000778
REV-000023,ORD-20251012-240286,CUST-10471,REST-AUH-002,Incredible meal! Fish Curry and Dal Makhani arrived hot and fresh. The Fish Curry was absolutely divine. Highly satisfied!,5,2025-10-16T16:29:11.000778
REV-000025,ORD-20251016-627595,CUST-10365,REST-AUH-002,Mixed feelings. Sweet Lassi were acceptable. Sweet Lassi was decent but portion was small for the price.,3,2025-10-18T21:48:53.000778
REV-000027,ORD-20251020-648341,CUST-10190,REST-DXB-002,Exceptional quality! Ordered Lamb Rogan Josh  Gulab Jamun (2 pcs)  Chicken Tikka Masala  and Tandoori Roti and everything was delicious. The Lamb Rogan Josh melted in my mouth. Perfect!,5,2025-10-22T10:43:06.000778
REV-000024,ORD-20251015-209391,CUST-10181,REST-DXB-002,Really good Gajar Halwa  Aloo Tikki Chaat  Butter Naan  Naan  and Chicken 65! The Aloo Tikki Chaat was delicious. Slight delay in delivery but food quality made up for it.,4,2025-10-22T16:00:49.000778
REV-000026,ORD-20251017-960618,CUST-10104,REST-AUH-001,Below expectations. Mango Lassi were underwhelming. Mango Lassi was overcooked and dry.,2,2025-10-24T10:27:51.000778
REV-000030,ORD-20251022-788929,CUST-10395,REST-SHJ-001,Hands down the best Malai Kofta I've ever had! Malai Kofta were all prepared beautifully. Fresh and flavorful!,5,2025-10-24T12:58:37.000778
REV-000028,ORD-20251020-938754,CUST-10297,REST-AUH-001,Enjoyed the Chicken Seekh Kebab! Chicken Seekh Kebab was very good. Portion sizes were generous. Recommend!,4,2025-10-24T22:17:35.000778
REV-000029,ORD-20251021-929809,CUST-10155,REST-AUH-001,Great food overall. Malai Kofta  Paneer Butter Masala  and Mango Lassi were tasty  especially the Paneer Butter Masala. Would order again!,4,2025-10-27T10:38:32.000778
REV-000031,ORD-20251101-843981,CUST-10382,REST-SHJ-001,It was okay. Paneer Tikka  Lamb Rogan Josh  and Gajar Halwa arrived lukewarm. Lamb Rogan Josh tasted fine but could be better.,3,2025-11-05T11:08:08.000778
REV-000033,ORD-20251105-830148,CUST-10309,REST-DXB-002,Outstanding experience! The Fish Curry  Naan  Paneer Tikka  Gajar Halwa  and Sweet Lassi exceeded all expectations. Gajar Halwa was the star of the meal. Will definitely order again!,5,2025-11-06T19:09:06.000778
REV-000032,ORD-20251103-545655,CUST-10074,REST-SHJ-001,Perfect in every way! Masala Chai and Tandoori Roti were all excellent. Tandoori Roti stood out with its rich  authentic taste.,5,2025-11-08T17:17:59.000778
REV-000034,ORD-20251105-370491,CUST-10352,REST-SHJ-001,Perfect in every way! Paneer Tikka and Fish Curry were all excellent. Paneer Tikka stood out with its rich  authentic taste.,5,2025-11-09T20:29:12.000778
REV-000035,ORD-20251114-619519,CUST-10174,REST-AUH-001,Not good. Chicken Tikka Masala  Kulfi  and Gajar Halwa arrived late and cold. Kulfi had barely any flavor. Poor quality.,2,2025-11-16T15:30:09.000778
